lang,1st case,1st death,School closure,Public events banned,Lockdown,Mobility,Normalcy
fr,2020-01-24,2020-02-14,2020-03-14,2020-03-13,2020-03-17,2020-03-16,2020-07-02
da,2020-02-27,2020-03-12,2020-03-13,2020-03-12,2020-03-18,2020-03-11,2020-06-05
de,2020-01-27,2020-03-09,2020-03-14,2020-03-22,2020-03-22,2020-03-16,2020-07-10
it,2020-01-31,2020-02-22,2020-03-05,2020-03-09,2020-03-11,2020-03-11,2020-06-26
nl,2020-02-27,2020-03-06,2020-03-11,2020-03-24,,2020-03-16,2020-05-29
no,2020-02-26,2020-02-26,2020-03-13,2020-03-12,2020-03-24,2020-03-11,2020-06-04
sr,2020-03-06,2020-03-20,2020-03-15,2020-03-21,2020-03-21,2020-03-16,2020-05-02
sv,2020-01-31,2020-03-11,2020-03-18,2020-03-12,,2020-03-11,2020-06-05
ko,2020-01-20,2020-02-20,2020-02-23,,,2020-02-25,2020-04-15
ca,2020-01-31,2020-02-13,2020-03-12,2020-03-08,2020-03-14,2020-03-16,
fi,2020-01-29,2020-03-21,2020-03-16,2020-03-16,,2020-03-16,2020-05-21
ja,2020-01-16,2020-02-13,2020-02-27,2020-02-25,,2020-03-31,2020-06-14
en,,,,,,2020-03-16,2020-05-21
